time,open,high,low,close,Plot,Plot,Plot,A组1,A组2,B组1,B组2,Volume
2022-09-24,19288.57,19316.14,18805.34,18920.5,19804.987922269946,20771.357831773657,27588.5638654994,25009.001718186508,26214.418986053177,32944.16551017237,32510.305413697664,239496.56746
2022-09-25,18921.99,19180.21,18629.2,18807.38,19709.977643958522,20694.33909327273,27501.188901663587,24923.462108280488,26127.27735092314,32895.16452053573,32469.824097852175,191191.4492
2022-09-26,18809.13,19318.96,18680.72,19227.82,19664.057868343425,20636.82854059537,27418.86682304007,24844.90152747662,26046.107264441693,32847.79070937269,32430.70444025143,439239.21943
2022-09-27,19226.68,20385.86,18816.32,19079.13,19608.35045231072,20575.742323317118,27335.88436708942,24765.37364433901,25964.142826036496,32800.06571557937,32391.261088876978,593260.74161
2022-09-28,19078.1,19790,18471.28,19412.82,19589.7285044716,20530.137526324288,27257.047905725347,24691.5453182102,25887.06843984783,32753.662784156215,32352.920051686793,521385.45547
2022-09-29,19412.82,19645.52,18843.01,19591.51,19589.8981707124,20493.328603723334,27180.773896713155,24621.200003476264,25813.003046437854,32708.040070866246,32315.22016970249,406424.93256
2022-09-30,19590.54,20185,19155.36,19422.61,19573.965963977887,20451.33963887144,27103.578236049343,24549.495313773143,25737.82195177388,32661.990053289584,32277.132695050488,444322.9534
2022-10-01,19422.61,19484,19159.42,19310.95,19548.916824551423,20406.618476562755,27026.039646635916,24477.23951634179,25662.21169351772,32615.712618096208,32238.82787172685,165625.13959
2022-10-02,19312.24,19395.91,18920.35,19056.8,19502.048555546524,20353.684418658333,26946.743729753965,24402.474833357766,25584.50096771163,32568.71465408201,32199.88539647803,206812.47032
2022-10-03,19057.74,19719.1,18959.68,19629.08,19514.146788351616,20325.268559103104,26873.93115532855,24336.6349046218,25514.437191620902,32523.863234137185,32162.748600624327,293585.75212
2022-10-04,19629.08,20475,19490.6,20337.82,19592.591856127652,20325.76077247161,26808.895223434734,24281.47883697184,25453.53581289595,32481.623916167904,32127.815281272407,327012.00127
2022-10-05,20337.82,20365.6,19730,20158.26,19646.465012686924,20319.192114727626,26742.719748574687,24224.606853013607,25391.23845039129,32438.908616631794,32092.454704370568,312239.75224
2022-10-06,20158.26,20456.6,19853,19960.67,19676.38929719293,20305.132423953994,26675.236666499317,24165.793930903073,25327.34940979845,32395.65648971106,32056.614867725457,320122.1702
2022-10-07,19960.67,20068.82,19320,19530.09,19662.456030793604,20274.73860340678,26604.14067976798,24101.853187028548,25259.14635791847,32351.06180517133,32019.60888584148,220874.83913
2022-10-08,19530.09,19627.38,19237.14,19417.96,19639.170694527547,20241.139442488864,26532.636394397156,24037.247763759187,25190.426518413547,32306.23302941684,31982.380971850813,102480.09842
2022-10-09,19416.52,19558,19316.04,19439.02,19620.10872362016,20209.683778077535,26462.053146691713,23973.823932534924,25122.762912314563,32261.632637633764,31945.325252583898,113900.82681
2022-10-10,19439.96,19525,19020.25,19131.87,19573.609797561097,20167.4165710941,26389.116000953487,23907.038361051684,25052.28181922851,32216.122195215623,31907.47161815972,212509.09849
2022-10-11,19131.87,19268.09,18860,19060,19524.694578745755,20123.988470266882,26316.189473580816,23840.182659519938,24981.784386061114,32170.520385180214,31869.51749225674,243473.84286
2022-10-12,19060,19238.31,18965.88,19155.53,19489.536047436635,20086.009706727004,26244.939130560113,23775.56676076794,24913.240216813338,32125.4077668607,31831.95770645982,213826.26731
2022-10-13,19155.1,19513.79,18190,19375.13,19478.64023339505,20058.132071169082,26176.582820803294,23714.87108130907,24848.085978968476,32081.212696611616,31795.157624609124,399756.68337
2022-10-14,19375.58,19951.87,19070.37,19176.93,19449.905925452666,20023.575127201668,26106.934534029133,23652.278790532393,24781.366496862964,32036.483813781073,31757.880733546765,351634.32601
2022-10-15,19176.93,19227.68,18975.18,19069.39,19413.666313504793,19986.156102605524,26036.909215282576,23589.066531352637,24714.16677337046,31991.537214773165,31720.396270522993,113847.64232
2022-10-16,19068.4,19425.84,19063.74,19262.98,19399.315236028146,19957.796255444522,25969.506934533496,23529.396372299496,24650.035164271983,31947.4174323996,31683.594449930606,131894.61885
2022-10-17,19262.98,19676.96,19152.03,19549.86,19413.652832596894,19941.79875523101,25905.62985060779,23474.506215440193,24590.03310351584,31904.444962963207,31647.748853328154,222813.87634
2022-10-18,19548.48,19706.66,19091,19327.44,19405.442086635285,19917.706255025874,25840.17522522861,23417.305302123776,24528.120243474477,31860.850491687772,31611.35207680429,260313.07848
2022-10-19,19327.44,19360.16,19065.97,19123.97,19378.63522124145,19886.579343064077,25773.34731253977,23358.086884163447,24464.542005315954,31816.70185913426,31574.461730934854,186137.29538
2022-10-20,19123.35,19347.82,18900,19041.92,19346.56710493274,19853.455447257642,25706.36793629559,23298.553547830157,24400.746452312236,31772.42185269012,31537.437973974927,223530.13068
2022-10-21,19041.92,19250,18650,19164.37,19329.21499970105,19826.432488541657,25641.27342946678,23241.530326480777,24339.142023461503,31728.719766545615,31500.885335942505,269310.75769
2022-10-22,19164.37,19257,19112.72,19204.35,19317.323094967614,19802.03709683414,25577.22444011885,23185.845080598283,24278.732705538427,31685.30773962518,31464.558791375468,110403.90837
2022-10-23,19204.29,19695,19070.11,19570.4,19341.42565735165,19792.953289115154,25517.455042704732,23135.976872590032,24223.340556061503,31643.31499182752,31429.420951519114,167057.20184
2022-10-24,19570.4,19601.15,19157,19329.72,19340.31083284197,19774.787277777305,25455.88553979225,23083.476777795688,24165.768549519602,31600.633553380976,31393.675897009456,256168.14467
2022-10-25,19330.6,20415.87,19237,20080.07,19410.76408685702,19786.75914923702,25402.39483790377,23042.0504774123,24117.701507760547,31560.70092407983,31360.253132173388,326370.67061
2022-10-26,20079.02,21020,20050.41,20771.59,19540.3665547754,19825.379966914,25356.317177825124,23010.73378117213,24078.335490022186,31523.30365917834,31328.972000320588,380492.69576
2022-10-27,20771.61,20872.21,20200,20295.11,19612.24688289203,19843.800752525214,25305.956907399002,22973.276901431826,24033.826954845455,31484.384443721916,31296.37565763131,328643.57791
2022-10-28,20295.11,20750,20000.09,20591.84,19705.54146547374,19873.135624975206,25259.050271504486,22940.429495894834,23993.332990670802,31446.628657088564,31264.75221403417,287039.94569
2022-10-29,20591.84,21085,20554.01,20809.67,19810.69656400005,19909.862463211473,25214.777830992003,22911.03970974456,23955.87813195703,31409.758783060526,31233.865708232002,254881.77755
2022-10-30,20809.68,20931.21,20515,20627.48,19888.48546266671,19938.00432739926,25169.13307645477,22879.542334437738,23916.720506875183,31372.385199757024,31202.532220172234,192795.60886
2022-10-31,20627.48,20845.92,20237.95,20490.74,19945.843037650833,19959.6802361287,25122.581901564674,22846.593336721355,23876.414853853123,31334.667192132216,31170.887339167293,303567.61628
2022-11-01,20490.74,20700,20330.74,20483.62,19997.059891207897,19980.22689353542,25076.423076673484,22814.00060104244,23836.49962027838,31297.055243459316,31139.314909804907,279932.43771
2022-11-02,20482.81,20800,20048.04,20151.84,20011.80085395,19986.956819279127,25027.422250039916,22777.28114447634,23793.150683569223,31258.423648161363,31106.855604310655,373716.27299
2022-11-03,20151.84,20393.32,20031.24,20207.82,20030.46934405,19995.61812048387,24979.466008745985,22741.84030110425,23750.970322586058,31220.11999600136,31074.65756707488,319185.1544
