Trade #,Type,Signal,Date/Time,Price USD,Contracts,Profit USD,Profit %,Cum. Profit USD,Cum. Profit %,Run-up USD,Run-up %,Drawdown USD,Drawdown %
284,Exit Short,Open,,,,,,,,,,,
284,Entry Short,My Short Entry Id,2024-01-03 22:00,42556.00,,,,,,,,,
283,Exit Long,My Short Entry Id,2024-01-03 22:00,42556.00,0.079653,-185.19,-5.18,13642.64,-0.78,83.24,2.33,332.95,9.31
283,Entry Long,My Long Entry Id,2024-01-02 10:00,44881.00,0.079653,-185.19,-5.18,13642.64,-0.78,83.24,2.33,332.95,9.31
282,Exit Short,My Long Entry Id,2024-01-02 10:00,44881.00,0.085044,-211.16,-5.86,13827.83,-0.88,75.43,2.09,255.56,7.09
282,Entry Short,My Short Entry Id,2023-12-26 18:00,42398.00,0.085044,-211.16,-5.86,13827.83,-0.88,75.43,2.09,255.56,7.09
281,Exit Long,My Short Entry Id,2023-12-26 18:00,42398.00,0.084235,-54.92,-1.51,14039.00,-0.23,114.90,3.17,215.81,5.95
281,Entry Long,My Long Entry Id,2023-12-14 06:00,43050.00,0.084235,-54.92,-1.51,14039.00,-0.23,114.90,3.17,215.81,5.95
280,Exit Short,My Long Entry Id,2023-12-14 06:00,43050.00,0.086283,-87.58,-2.41,14093.92,-0.36,163.07,4.5,98.45,2.71
280,Entry Short,My Short Entry Id,2023-12-11 14:00,42035.00,0.086283,-87.58,-2.41,14093.92,-0.36,163.07,4.5,98.45,2.71
279,Exit Long,My Short Entry Id,2023-12-11 14:00,42035.00,0.09345,353.80,9.9,14181.50,1.48,605.37,16.94,71.40,2
279,Entry Long,My Long Entry Id,2023-11-29 02:00,38249.00,0.09345,353.80,9.9,14181.50,1.48,605.37,16.94,71.40,2
278,Exit Short,My Long Entry Id,2023-11-29 02:00,38249.00,0.099932,-215.85,-5.99,13827.69,-0.9,6.50,0.18,233.44,6.47
278,Entry Short,My Short Entry Id,2023-11-22 10:00,36089.00,0.099932,-215.85,-5.99,13827.69,-0.9,6.50,0.18,233.44,6.47
277,Exit Long,My Short Entry Id,2023-11-22 10:00,36089.00,0.096438,-152.37,-4.19,14043.55,-0.63,29.32,0.81,209.17,5.76
277,Entry Long,My Long Entry Id,2023-11-16 06:00,37669.00,0.096438,-152.37,-4.19,14043.55,-0.63,29.32,0.81,209.17,5.76
276,Exit Short,My Long Entry Id,2023-11-16 06:00,37669.00,0.101256,-160.59,-4.4,14195.92,-0.66,137.91,3.77,178.31,4.88
276,Entry Short,My Short Entry Id,2023-11-15 02:00,36083.00,0.101256,-160.59,-4.4,14195.92,-0.66,137.91,3.77,178.31,4.88
275,Exit Long,My Short Entry Id,2023-11-15 02:00,36083.00,0.125762,1040.30,29.74,14356.51,4.46,1280.38,36.61,21.13,0.6
275,Entry Long,My Long Entry Id,2023-10-16 17:00,27811.00,0.125762,1040.30,29.74,14356.51,4.46,1280.38,36.61,21.13,0.6
274,Exit Short,My Long Entry Id,2023-10-16 17:00,27811.00,0.127792,-49.33,-1.41,13316.21,-0.21,117.06,3.34,91.50,2.61
274,Entry Short,My Short Entry Id,2023-10-03 09:00,27425.00,0.127792,-49.33,-1.41,13316.21,-0.21,117.06,3.34,91.50,2.61
273,Exit Long,My Short Entry Id,2023-10-03 09:00,27425.00,0.130745,95.31,2.73,13365.54,0.41,248.02,7.11,81.19,2.33
273,Entry Long,My Long Entry Id,2023-09-27 21:00,26696.00,0.130745,95.31,2.73,13365.54,0.41,248.02,7.11,81.19,2.33
272,Exit Short,My Long Entry Id,2023-09-27 21:00,26696.00,0.131668,-17.91,-0.51,13270.22,-0.08,75.84,2.17,35.02,1
272,Entry Short,My Short Entry Id,2023-09-23 06:00,26560.00,0.131668,-17.91,-0.51,13270.22,-0.08,75.84,2.17,35.02,1
271,Exit Long,My Short Entry Id,2023-09-23 06:00,26560.00,0.133439,59.91,1.72,13288.13,0.26,183.48,5.27,47.37,1.36
271,Entry Long,My Long Entry Id,2023-09-12 21:00,26111.00,0.133439,59.91,1.72,13288.13,0.26,183.48,5.27,47.37,1.36
270,Exit Short,My Long Entry Id,2023-09-12 21:00,26111.00,0.139226,-131.29,-3.75,13228.22,-0.56,37.87,1.08,158.02,4.51
270,Entry Short,My Short Entry Id,2023-09-12 01:00,25168.00,0.139226,-131.29,-3.75,13228.22,-0.56,37.87,1.08,158.02,4.51
269,Exit Long,My Short Entry Id,2023-09-12 01:00,25168.00,0.133856,-159.02,-4.51,13359.51,-0.68,3.35,0.09,190.21,5.39
269,Entry Long,My Long Entry Id,2023-09-08 09:00,26356.00,0.133856,-159.02,-4.51,13359.51,-0.68,3.35,0.09,190.21,5.39
268,Exit Short,My Long Entry Id,2023-09-08 09:00,26356.00,0.134635,-17.77,-0.5,13518.53,-0.08,123.06,3.49,29.22,0.83
268,Entry Short,My Short Entry Id,2023-09-01 01:00,26224.00,0.134635,-17.77,-0.5,13518.53,-0.08,123.06,3.49,29.22,0.83
267,Exit Long,My Short Entry Id,2023-09-01 01:00,26224.00,0.133067,-46.84,-1.32,13536.30,-0.2,208.92,5.91,110.18,3.12
267,Entry Long,My Long Entry Id,2023-08-24 05:00,26576.00,0.133067,-46.84,-1.32,13536.30,-0.2,208.92,5.91,110.18,3.12
266,Exit Short,My Long Entry Id,2023-08-24 05:00,26576.00,0.119834,306.66,8.78,13583.14,1.32,456.45,13.07,7.07,0.2
266,Entry Short,My Short Entry Id,2023-08-16 17:00,29135.00,0.119834,306.66,8.78,13583.14,1.32,456.45,13.07,7.07,0.2
265,Exit Long,My Short Entry Id,2023-08-16 17:00,29135.00,0.117567,-78.30,-2.23,13276.48,-0.34,49.14,1.4,134.73,3.85
265,Entry Long,My Long Entry Id,2023-08-02 09:00,29801.00,0.117567,-78.30,-2.23,13276.48,-0.34,49.14,1.4,134.73,3.85
264,Exit Short,My Long Entry Id,2023-08-02 09:00,29801.00,0.115716,51.73,1.48,13354.78,0.22,195.91,5.6,22.68,0.65
264,Entry Short,My Short Entry Id,2023-07-15 06:00,30248.00,0.115716,51.73,1.48,13354.78,0.22,195.91,5.6,22.68,0.65
263,Exit Long,My Short Entry Id,2023-07-15 06:00,30248.00,0.113874,-59.21,-1.69,13303.06,-0.25,119.23,3.4,97.82,2.79
263,Entry Long,My Long Entry Id,2023-07-11 05:00,30768.00,0.113874,-59.21,-1.69,13303.06,-0.25,119.23,3.4,97.82,2.79
262,Exit Short,My Long Entry Id,2023-07-11 05:00,30768.00,0.117033,-84.03,-2.39,13362.27,-0.36,14.40,0.41,117.50,3.34
262,Entry Short,My Short Entry Id,2023-07-07 09:00,30050.00,0.117033,-84.03,-2.39,13362.27,-0.36,14.40,0.41,117.50,3.34
261,Exit Long,My Short Entry Id,2023-07-07 09:00,30050.00,0.132452,545.17,15.87,13446.30,2.38,737.36,21.47,0.93,0.03
261,Entry Long,My Long Entry Id,2023-06-17 01:00,25934.00,0.132452,545.17,15.87,13446.30,2.38,737.36,21.47,0.93,0.03
260,Exit Short,My Long Entry Id,2023-06-17 01:00,25934.00,0.134903,-55.45,-1.61,12901.13,-0.24,105.76,3.07,119.79,3.48
260,Entry Short,My Short Entry Id,2023-06-10 14:00,25523.00,0.134903,-55.45,-1.61,12901.13,-0.24,105.76,3.07,119.79,3.48
259,Exit Long,My Short Entry Id,2023-06-10 14:00,25523.00,0.128831,-186.48,-5.37,12956.57,-0.81,52.56,1.51,192.67,5.54
259,Entry Long,My Long Entry Id,2023-06-07 05:00,26970.50,0.128831,-186.48,-5.37,12956.57,-0.81,52.56,1.51,192.67,5.54
258,Exit Short,My Long Entry Id,2023-06-07 05:00,26970.50,0.128194,12.63,0.36,13143.06,0.05,222.67,6.42,49.23,1.42
258,Entry Short,My Short Entry Id,2023-05-31 21:00,27069.00,0.128194,12.63,0.36,13143.06,0.05,222.67,6.42,49.23,1.42
257,Exit Long,My Short Entry Id,2023-05-31 21:00,27069.00,0.128165,-0.13,0,13130.43,0,176.16,5.08,12.11,0.35
257,Entry Long,My Long Entry Id,2023-05-28 09:00,27070.00,0.128165,-0.13,0,13130.43,0,176.16,5.08,12.11,0.35
256,Exit Short,My Long Entry Id,2023-05-28 09:00,27070.00,0.132976,-113.03,-3.24,13130.56,-0.49,48.74,1.4,119.55,3.43
256,Entry Short,My Short Entry Id,2023-05-25 01:00,26220.00,0.132976,-113.03,-3.24,13130.56,-0.49,48.74,1.4,119.55,3.43
