Trade #,Type,Signal,Date/Time,Price USDT,Contracts,Profit USD,Profit %,Cum. Profit USD,Cum. Profit %,Run-up USD,Run-up %,Drawdown USD,Drawdown %
174,Exit Long,盈145,2024-05-02 03:00,58580.0,0.001755,2.76,2.76,44.61,1.95,2.76,2.76,0.74,0.74
174,Entry Long,做多:145,2024-05-02 02:00,57004.7,0.001755,2.76,2.76,44.61,1.95,2.76,2.76,0.74,0.74
173,Exit Long,盈144,2024-04-30 07:00,63786.8,0.001592,1.58,1.58,41.85,1.13,1.58,1.58,0.47,0.47
173,Entry Long,做多:144,2024-04-30 00:00,62794.9,0.001592,1.58,1.58,41.85,1.13,1.58,1.58,0.47,0.47
172,Exit Short,盈143,2024-04-27 09:00,62922.0,0.001567,1.39,1.39,40.27,1,1.39,1.39,0.50,0.5
172,Entry Short,做空:143,2024-04-27 00:00,63811.1,0.001567,1.39,1.39,40.27,1,1.39,1.39,0.50,0.5
171,Exit Short,盈139,2024-04-24 23:00,65471.9,0.001498,1.87,1.87,38.87,1.36,1.87,1.87,0.56,0.56
171,Entry Short,做空:142,2024-04-23 11:00,66719.3,0.001498,1.87,1.87,38.87,1.36,1.87,1.87,0.56,0.56
170,Exit Short,盈139,2024-04-24 23:00,65471.9,0.00001,0.01,1.93,37.01,0.01,0.01,1.93,0.004,0.57
170,Entry Short,做空:141,2024-04-23 09:00,66758.6,0.00001,0.01,1.93,37.01,0.01,0.01,1.93,0.004,0.57
169,Exit Short,盈140,2024-04-24 23:00,65583.6,0.001487,1.75,1.76,36.99,1.29,1.75,1.76,0.57,0.57
169,Entry Short,做空:141,2024-04-23 09:00,66758.6,0.001487,1.75,1.76,36.99,1.29,1.75,1.76,0.57,0.57
168,Exit Short,盈140,2024-04-24 23:00,65583.6,0.000017,0.02,1.33,35.25,0.01,0.02,1.33,0.01,1.1
168,Entry Short,做空:140,2024-04-23 06:00,66466.8,0.000017,0.02,1.33,35.25,0.01,0.02,1.33,0.01,1.1
167,Exit Short,盈141,2024-04-23 16:00,65968.4,0.001487,0.74,0.75,35.23,0.55,0.74,0.75,1.09,1.1
167,Entry Short,做空:140,2024-04-23 06:00,66466.8,0.001487,0.74,0.75,35.23,0.55,0.74,0.75,1.09,1.1
166,Exit Short,盈141,2024-04-23 16:00,65968.4,0.00001,0.003,0.47,34.49,0,0.003,0.47,0.01,1.39
166,Entry Short,做空:139,2024-04-23 04:00,66280.2,0.00001,0.003,0.47,34.49,0,0.003,0.47,0.01,1.39
165,Exit Short,盈142,2024-04-23 16:00,65982.6,0.001498,0.45,0.45,34.49,0.33,0.45,0.45,1.38,1.39
165,Entry Short,做空:139,2024-04-23 04:00,66280.2,0.001498,0.45,0.45,34.49,0.33,0.45,0.45,1.38,1.39
164,Exit Short,损138,2024-04-22 12:00,65906.0,0.001537,-1.37,-1.37,34.04,-1.01,1.26,1.26,1.37,1.37
164,Entry Short,做空:138,2024-04-21 14:00,65014.5,0.001537,-1.37,-1.37,34.04,-1.01,1.26,1.26,1.37,1.37
163,Exit Long,盈137,2024-04-17 06:00,64201.5,0.001595,2.45,2.45,35.41,1.84,2.45,2.45,1.83,1.83
163,Entry Long,做多:137,2024-04-16 15:00,62664.5,0.001595,2.45,2.45,35.41,1.84,2.45,2.45,1.83,1.83
162,Exit Short,损136,2024-04-04 23:00,67691.8,0.001518,-2.79,-2.79,32.96,-2.06,1.21,1.21,2.79,2.79
162,Entry Short,做空:136,2024-04-04 01:00,65852.2,0.001518,-2.79,-2.79,32.96,-2.06,1.21,1.21,2.79,2.79
161,Exit Long,做空:136,2024-04-04 01:00,65852.2,0.001524,0.46,0.46,35.75,0.34,2.08,2.08,1.72,1.72
161,Entry Long,做多:135,2024-04-03 02:00,65550.9,0.001524,0.46,0.46,35.75,0.34,2.08,2.08,1.72,1.72
160,Exit Short,盈134,2024-03-31 08:00,69581.0,0.001426,0.71,0.71,35.29,0.53,0.71,0.71,0.0001,0
160,Entry Short,做空:134,2024-03-31 03:00,70080.0,0.001426,0.71,0.71,35.29,0.53,0.71,0.71,0.0001,0
159,Exit Long,盈133,2024-03-23 16:00,64596.7,0.001587,2.50,2.5,34.58,1.89,2.50,2.5,0.07,0.07
159,Entry Long,做多:133,2024-03-23 08:00,63022.4,0.001587,2.50,2.5,34.58,1.89,2.50,2.5,0.07,0.07
158,Exit Short,盈132,2024-03-18 22:00,67250.2,0.00146,1.84,1.84,32.08,1.41,1.84,1.84,0.23,0.23
158,Entry Short,做空:132,2024-03-18 16:00,68510.7,0.00146,1.84,1.84,32.08,1.41,1.84,1.84,0.23,0.23
157,Exit Long,盈131,2024-03-17 19:00,67205.9,0.001524,2.36,2.36,30.24,1.84,2.36,2.36,0.56,0.56
157,Entry Long,做多:131,2024-03-17 17:00,65658.0,0.001524,2.36,2.36,30.24,1.84,2.36,2.36,0.56,0.56
